"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","target"
28,"services","single","high.school","no","no","no","cellular","may","wed",649,2,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes"
68,"retired","divorced","high.school","no","yes","yes","cellular","jul","wed",340,1,1,"success",-1.7,94.215,-40.3,0.896,4991.6,"yes"
31,"services","married","high.school","no","yes","no","cellular","may","tue",398,6,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes"
31,"entrepreneur","single","basic.9y","no","no","no","telephone","jun","mon",1248,3,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,"yes"
77,"retired","married","basic.4y","no","yes","no","cellular","sep","thu",190,1,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"yes"
39,"admin.","married","basic.6y","unknown","no","no","cellular","jul","wed",1176,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
35,"admin.","married","high.school","no","yes","no","cellular","oct","thu",194,1,1,"success",-3.4,92.431,-26.9,0.754,5017.5,"yes"
41,"technician","married","professional.course","no","no","no","cellular","mar","fri",229,2,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,"yes"
30,"services","single","high.school","no","no","no","cellular","nov","fri",648,1,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes"
43,"technician","married","professional.course","unknown","no","no","cellular","aug","tue",926,2,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
32,"technician","married","professional.course","no","yes","no","cellular","oct","wed",275,2,0,"nonexistent",-1.1,94.601,-49.5,0.959,4963.6,"yes"
40,"blue-collar","married","basic.9y","no","no","yes","telephone","jul","tue",1135,2,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,"yes"
36,"technician","married","professional.course","unknown","no","no","cellular","oct","thu",667,1,0,"nonexistent",-3.4,92.431,-26.9,0.741,5017.5,"yes"
38,"unemployed","married","basic.4y","unknown","no","no","cellular","jul","tue",1058,1,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
33,"admin.","single","university.degree","unknown","no","yes","cellular","apr","fri",526,1,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
80,"housemaid","married","basic.4y","no","yes","yes","cellular","apr","tue",232,1,1,"success",-1.8,93.749,-34.6,0.644,5008.7,"yes"
59,"admin.","divorced","high.school","no","no","no","cellular","nov","thu",357,3,2,"success",-1.1,94.767,-50.8,1.05,4963.6,"yes"
30,"management","married","university.degree","no","yes","no","cellular","apr","thu",271,1,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes"
32,"admin.","single","university.degree","no","no","no","telephone","may","fri",588,3,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
46,"admin.","married","university.degree","no","yes","no","cellular","jul","fri",341,3,0,"nonexistent",-1.7,94.215,-40.3,0.822,4991.6,"yes"
37,"admin.","married","university.degree","no","no","yes","cellular","dec","mon",206,2,1,"success",-3,92.713,-33,0.706,5023.5,"yes"
45,"blue-collar","single","basic.9y","no","no","yes","cellular","oct","tue",204,2,1,"failure",-3.4,92.431,-26.9,0.742,5017.5,"yes"
50,"admin.","married","university.degree","no","no","yes","cellular","aug","thu",460,1,2,"failure",-2.9,92.201,-31.4,0.829,5076.2,"yes"
34,"entrepreneur","married","university.degree","unknown","yes","no","cellular","nov","mon",2462,2,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"yes"
67,"admin.","married","basic.4y","unknown","no","no","cellular","oct","thu",299,2,2,"success",-3.4,92.431,-26.9,0.722,5017.5,"yes"
46,"admin.","single","university.degree","no","yes","no","cellular","jul","thu",309,1,0,"nonexistent",-2.9,92.469,-33.6,1.072,5076.2,"yes"
35,"admin.","single","university.degree","unknown","no","no","cellular","jul","thu",863,1,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
32,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",1091,2,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes"
44,"admin.","married","university.degree","no","yes","no","cellular","oct","mon",252,1,0,"nonexistent",-1.1,94.601,-49.5,1,4963.6,"yes"
28,"blue-collar","single","high.school","no","yes","yes","cellular","apr","thu",268,1,0,"nonexistent",-1.8,93.075,-47.1,1.483,5099.1,"yes"
42,"admin.","married","professional.course","no","no","yes","cellular","may","mon",300,1,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes"
39,"services","married","unknown","unknown","yes","yes","cellular","jul","wed",1201,6,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
39,"housemaid","married","basic.9y","no","yes","no","telephone","may","mon",935,3,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
26,"student","single","high.school","no","no","no","cellular","may","mon",716,3,1,"failure",-1.8,92.893,-46.2,1.354,5099.1,"yes"
24,"technician","married","university.degree","no","yes","yes","cellular","sep","tue",89,2,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes"
27,"services","single","high.school","no","no","no","cellular","jul","mon",1071,3,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
38,"services","single","high.school","unknown","no","yes","telephone","may","thu",1257,3,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"yes"
39,"technician","married","basic.9y","no","yes","no","cellular","apr","thu",620,1,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
31,"blue-collar","single","basic.9y","no","no","no","telephone","jun","wed",767,2,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes"
33,"technician","married","university.degree","no","no","no","cellular","may","wed",1489,3,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"yes"
37,"blue-collar","single","basic.9y","unknown","yes","no","telephone","may","wed",591,1,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"yes"
35,"student","single","high.school","no","no","yes","telephone","may","fri",2680,1,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes"
46,"admin.","divorced","university.degree","no","no","no","telephone","oct","mon",376,1,0,"nonexistent",-0.1,93.798,-40.4,4.912,5195.8,"yes"
34,"admin.","divorced","university.degree","no","no","no","telephone","jul","thu",676,1,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"yes"
48,"technician","married","high.school","no","yes","no","cellular","aug","mon",711,1,0,"nonexistent",-2.9,92.201,-31.4,0.861,5076.2,"yes"
31,"technician","single","professional.course","no","unknown","unknown","cellular","oct","thu",212,2,0,"nonexistent",-1.1,94.601,-49.5,1.025,4963.6,"yes"
53,"technician","married","professional.course","no","no","no","cellular","may","mon",206,3,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes"
41,"admin.","divorced","university.degree","no","yes","no","cellular","mar","fri",498,2,3,"success",-1.8,93.369,-34.8,0.653,5008.7,"yes"
52,"blue-collar","married","basic.4y","unknown","yes","no","cellular","jul","fri",2015,1,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes"
39,"technician","married","university.degree","no","no","no","cellular","oct","fri",170,1,1,"success",-3.4,92.431,-26.9,0.739,5017.5,"yes"
34,"services","divorced","high.school","no","yes","yes","cellular","may","fri",562,2,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes"
22,"technician","single","university.degree","no","no","no","cellular","may","fri",382,1,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes"
32,"management","single","university.degree","no","yes","no","cellular","may","tue",1710,2,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes"
52,"technician","married","professional.course","no","yes","no","cellular","nov","fri",495,1,1,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes"
28,"management","single","university.degree","no","yes","no","cellular","jun","thu",339,3,2,"success",-1.7,94.055,-39.8,0.729,4991.6,"yes"
73,"retired","married","basic.4y","no","unknown","unknown","cellular","aug","mon",160,3,1,"failure",-2.9,92.201,-31.4,0.821,5076.2,"yes"
82,"retired","married","professional.course","no","yes","no","telephone","mar","mon",506,2,0,"nonexistent",-1.8,93.369,-34.8,0.646,5008.7,"yes"
33,"technician","single","university.degree","no","yes","no","cellular","sep","thu",463,1,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"yes"
34,"admin.","single","university.degree","no","no","no","cellular","apr","tue",142,1,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"yes"
50,"admin.","married","university.degree","no","no","no","cellular","jul","thu",356,1,0,"nonexistent",-2.9,92.469,-33.6,1.072,5076.2,"yes"
43,"admin.","single","high.school","no","yes","no","cellular","sep","fri",212,1,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"yes"
29,"technician","single","basic.9y","no","yes","no","cellular","jul","wed",603,1,0,"nonexistent",-1.7,94.215,-40.3,0.84,4991.6,"yes"
28,"admin.","single","high.school","no","yes","no","cellular","mar","fri",342,1,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,"yes"
33,"technician","married","high.school","no","yes","no","cellular","jul","fri",1360,9,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
29,"admin.","divorced","university.degree","no","yes","no","cellular","jun","wed",238,3,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
32,"technician","single","professional.course","no","yes","yes","cellular","aug","wed",952,1,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"yes"
26,"unemployed","single","university.degree","no","yes","no","cellular","aug","thu",203,1,3,"success",-1.7,94.027,-38.3,0.904,4991.6,"yes"
35,"technician","single","university.degree","no","yes","no","cellular","aug","tue",439,3,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
60,"retired","married","unknown","no","yes","no","cellular","aug","mon",600,2,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
33,"blue-collar","divorced","basic.9y","unknown","no","no","cellular","jul","tue",889,5,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
38,"entrepreneur","married","basic.4y","no","no","no","telephone","oct","fri",227,1,0,"nonexistent",-0.1,93.798,-40.4,4.76,5195.8,"yes"
36,"admin.","married","university.degree","no","no","no","cellular","oct","fri",342,1,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"yes"
66,"retired","unknown","basic.9y","no","yes","no","cellular","aug","wed",810,3,2,"failure",-2.9,92.201,-31.4,0.879,5076.2,"yes"
35,"admin.","married","university.degree","no","yes","no","cellular","jul","wed",287,2,1,"failure",-1.7,94.215,-40.3,0.84,4991.6,"yes"
21,"student","single","unknown","no","yes","yes","cellular","may","mon",374,2,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes"
33,"management","married","university.degree","no","yes","no","cellular","nov","fri",237,2,0,"nonexistent",-1.1,94.767,-50.8,1.04,4963.6,"yes"
49,"unemployed","married","high.school","no","no","no","cellular","sep","wed",292,1,0,"nonexistent",-3.4,92.379,-29.8,0.768,5017.5,"yes"
47,"services","divorced","unknown","no","yes","no","cellular","aug","tue",113,2,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,"yes"
34,"admin.","married","university.degree","no","yes","no","cellular","jul","thu",417,1,3,"success",-1.7,94.215,-40.3,0.899,4991.6,"yes"
28,"unemployed","married","professional.course","no","yes","no","cellular","aug","fri",190,3,1,"failure",-2.9,92.201,-31.4,0.869,5076.2,"yes"
37,"admin.","single","high.school","no","yes","no","telephone","may","fri",912,1,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes"
40,"unknown","single","unknown","no","no","no","cellular","sep","thu",224,1,1,"failure",-3.4,92.379,-29.8,0.809,5017.5,"yes"
28,"admin.","single","unknown","no","yes","no","cellular","apr","wed",545,2,4,"success",-1.8,93.749,-34.6,0.654,5008.7,"yes"
30,"management","single","high.school","no","no","no","cellular","nov","thu",952,2,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes"
31,"blue-collar","married","university.degree","no","yes","no","cellular","jun","mon",382,2,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
39,"self-employed","divorced","high.school","no","no","no","cellular","sep","tue",108,2,1,"success",-3.4,92.379,-29.8,0.788,5017.5,"yes"
27,"blue-collar","single","high.school","no","no","no","cellular","oct","tue",253,1,2,"failure",-1.1,94.601,-49.5,0.982,4963.6,"yes"
29,"technician","single","university.degree","no","no","no","cellular","jul","fri",1007,6,0,"nonexistent",-2.9,92.469,-33.6,1.059,5076.2,"yes"
27,"unknown","single","university.degree","no","yes","no","cellular","jun","wed",665,4,2,"success",-1.7,94.055,-39.8,0.767,4991.6,"yes"
50,"blue-collar","married","unknown","unknown","no","no","cellular","jul","thu",1275,1,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes"
52,"blue-collar","unknown","basic.4y","no","no","no","cellular","may","thu",1180,1,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes"
32,"student","married","high.school","no","yes","no","cellular","apr","thu",753,1,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
44,"admin.","divorced","high.school","no","yes","no","telephone","nov","mon",1628,2,1,"success",-3.4,92.649,-30.1,0.719,5017.5,"yes"
48,"management","married","university.degree","no","yes","no","cellular","oct","wed",294,1,1,"failure",-3.4,92.431,-26.9,0.74,5017.5,"yes"
43,"admin.","married","high.school","no","no","no","telephone","jun","fri",1422,10,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
22,"blue-collar","single","basic.6y","unknown","no","yes","telephone","may","fri",1073,1,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"yes"
60,"retired","divorced","basic.4y","no","yes","no","cellular","jul","tue",600,1,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes"
50,"technician","married","high.school","no","yes","no","cellular","dec","mon",229,1,1,"failure",-3,92.713,-33,0.717,5023.5,"yes"
34,"admin.","married","professional.course","no","yes","no","cellular","mar","thu",562,3,1,"failure",-1.8,93.369,-34.8,0.654,5008.7,"yes"
31,"services","single","professional.course","no","yes","no","telephone","oct","tue",373,1,0,"nonexistent",-3.4,92.431,-26.9,0.737,5017.5,"yes"
29,"blue-collar","single","professional.course","no","no","yes","cellular","mar","tue",207,2,1,"failure",-1.8,93.369,-34.8,0.652,5008.7,"yes"
48,"admin.","married","university.degree","no","yes","no","cellular","jun","wed",447,2,1,"success",-2.9,92.963,-40.8,1.26,5076.2,"yes"
24,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",342,3,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
54,"services","divorced","university.degree","no","no","no","cellular","may","tue",499,1,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes"
30,"blue-collar","married","basic.6y","unknown","yes","no","cellular","jul","fri",474,2,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes"
21,"student","single","basic.9y","no","unknown","unknown","cellular","sep","tue",875,1,0,"nonexistent",-3.4,92.379,-29.8,0.77,5017.5,"yes"
46,"admin.","married","university.degree","no","no","no","telephone","may","thu",351,3,0,"nonexistent",-1.8,93.876,-40,0.692,5008.7,"yes"
43,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",837,2,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes"
26,"admin.","single","high.school","no","yes","no","telephone","apr","wed",170,3,0,"nonexistent",-1.8,93.075,-47.1,1.415,5099.1,"yes"
19,"student","single","unknown","no","yes","no","cellular","nov","mon",380,1,1,"failure",-3.4,92.649,-30.1,0.714,5017.5,"yes"
45,"housemaid","single","basic.4y","no","no","no","telephone","sep","mon",569,4,0,"nonexistent",-3.4,92.379,-29.8,0.797,5017.5,"yes"
59,"management","married","university.degree","no","no","no","telephone","may","mon",340,8,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes"
29,"technician","single","professional.course","no","no","no","cellular","nov","fri",530,1,1,"failure",-0.1,93.2,-42,4.021,5195.8,"yes"
53,"blue-collar","married","basic.4y","unknown","yes","no","telephone","aug","tue",1186,4,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes"
20,"student","single","basic.4y","no","yes","yes","cellular","apr","tue",278,4,1,"success",-1.8,93.749,-34.6,0.644,5008.7,"yes"
53,"technician","divorced","university.degree","no","no","no","cellular","jun","wed",705,1,1,"failure",-2.9,92.963,-40.8,1.26,5076.2,"yes"
53,"management","divorced","university.degree","no","no","no","cellular","jun","mon",345,1,0,"nonexistent",-1.7,94.055,-39.8,0.754,4991.6,"yes"
33,"technician","married","high.school","no","no","yes","cellular","aug","thu",401,2,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes"
50,"admin.","married","university.degree","no","no","no","cellular","jun","mon",269,1,1,"success",-2.9,92.963,-40.8,1.215,5076.2,"yes"
41,"management","married","basic.6y","no","no","no","cellular","apr","thu",281,1,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
41,"blue-collar","divorced","basic.4y","no","no","no","cellular","may","fri",709,5,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes"
39,"admin.","married","high.school","no","yes","no","telephone","jun","wed",1141,4,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes"
29,"technician","single","professional.course","no","no","no","cellular","mar","tue",299,2,0,"nonexistent",-1.8,92.843,-50,1.614,5099.1,"yes"
36,"management","divorced","university.degree","no","yes","no","cellular","jun","mon",422,1,4,"success",-1.7,94.055,-39.8,0.72,4991.6,"yes"
30,"self-employed","single","university.degree","no","no","no","telephone","jun","wed",587,1,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
31,"entrepreneur","single","university.degree","no","yes","no","cellular","may","thu",633,1,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes"
32,"admin.","single","high.school","no","yes","no","telephone","jun","wed",1199,1,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes"
26,"admin.","single","high.school","no","no","no","cellular","apr","mon",785,1,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
50,"technician","married","high.school","no","no","no","cellular","dec","mon",620,3,0,"nonexistent",-3,92.713,-33,0.717,5023.5,"yes"
32,"admin.","married","university.degree","no","yes","no","cellular","oct","wed",467,2,1,"success",-3.4,92.431,-26.9,0.735,5017.5,"yes"
26,"admin.","single","university.degree","no","yes","no","telephone","sep","thu",471,1,1,"success",-3.4,92.379,-29.8,0.809,5017.5,"yes"
34,"blue-collar","married","basic.9y","unknown","yes","no","telephone","apr","mon",1353,2,1,"success",-1.8,93.075,-47.1,1.466,5099.1,"yes"
61,"admin.","married","university.degree","unknown","yes","no","cellular","jun","wed",1076,2,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
56,"management","married","university.degree","no","yes","no","cellular","aug","tue",370,2,0,"nonexistent",-2.9,92.201,-31.4,0.859,5076.2,"yes"
24,"admin.","single","university.degree","no","yes","no","cellular","apr","thu",127,1,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes"
35,"admin.","married","university.degree","no","no","no","cellular","jun","thu",121,4,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"yes"
26,"unemployed","single","university.degree","no","yes","no","cellular","apr","thu",618,1,0,"nonexistent",-1.8,93.749,-34.6,0.64,5008.7,"yes"
30,"blue-collar","married","basic.9y","no","yes","no","cellular","may","mon",1038,1,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"yes"
32,"blue-collar","married","professional.course","no","no","no","telephone","may","thu",1119,1,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"yes"
40,"unemployed","married","professional.course","no","no","yes","telephone","sep","fri",91,1,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"yes"
25,"admin.","single","university.degree","no","no","no","cellular","aug","mon",286,1,0,"nonexistent",-2.9,92.201,-31.4,0.861,5076.2,"yes"
30,"technician","single","professional.course","no","no","no","cellular","may","wed",229,3,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,"yes"
56,"retired","married","university.degree","no","yes","no","cellular","nov","wed",968,2,3,"success",-3.4,92.649,-30.1,0.716,5017.5,"yes"
40,"services","married","high.school","no","yes","no","cellular","nov","thu",90,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes"
45,"technician","married","professional.course","no","no","no","cellular","oct","thu",504,1,1,"success",-3.4,92.431,-26.9,0.733,5017.5,"yes"
30,"management","married","university.degree","no","no","yes","cellular","oct","wed",255,1,1,"success",-1.1,94.601,-49.5,1.043,4963.6,"yes"
35,"technician","married","professional.course","no","no","no","telephone","jun","wed",1528,2,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"yes"
